finger,usage,id,label,person,front,side
thumb,train,P/003_R_01,P,003,C:\Users\USER\Downloads\9-24_최종본\thumb\P\003_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\003_R_01_side_nail.jpg
thumb,train,P/006_L_01,P,006,C:\Users\USER\Downloads\9-24_최종본\thumb\P\006_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\006_L_01_side_nail.jpg
thumb,train,P/007_L_01,P,007,C:\Users\USER\Downloads\9-24_최종본\thumb\P\007_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\007_L_01_side_nail.jpg
thumb,train,P/007_R_01,P,007,C:\Users\USER\Downloads\9-24_최종본\thumb\P\007_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\007_R_01_side_nail.jpg
thumb,train,P/008_L_01,P,008,C:\Users\USER\Downloads\9-24_최종본\thumb\P\008_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\008_L_01_side_nail.jpg
thumb,train,P/008_R_01,P,008,C:\Users\USER\Downloads\9-24_최종본\thumb\P\008_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\008_R_01_side_nail.jpg
thumb,train,P/017_L_01,P,017,C:\Users\USER\Downloads\9-24_최종본\thumb\P\017_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\017_L_01_side_nail.jpg
thumb,train,P/017_R_01,P,017,C:\Users\USER\Downloads\9-24_최종본\thumb\P\017_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\017_R_01_side_nail.jpg
thumb,train,P/021_L_01,P,021,C:\Users\USER\Downloads\9-24_최종본\thumb\P\021_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\021_L_01_side_nail.jpg
thumb,train,P/021_R_01,P,021,C:\Users\USER\Downloads\9-24_최종본\thumb\P\021_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\021_R_01_side_nail.jpg
thumb,train,P/024_L_01,P,024,C:\Users\USER\Downloads\9-24_최종본\thumb\P\024_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\024_L_01_side_nail.jpg
thumb,train,P/032_L_01,P,032,C:\Users\USER\Downloads\9-24_최종본\thumb\P\032_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\032_L_01_side_nail.jpg
thumb,train,P/032_R_01,P,032,C:\Users\USER\Downloads\9-24_최종본\thumb\P\032_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\032_R_01_side_nail.jpg
thumb,train,P/033_L_01,P,033,C:\Users\USER\Downloads\9-24_최종본\thumb\P\033_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\033_L_01_side_nail.jpg
thumb,train,P/033_R_01,P,033,C:\Users\USER\Downloads\9-24_최종본\thumb\P\033_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\033_R_01_side_nail.jpg
thumb,train,P/036_L_01,P,036,C:\Users\USER\Downloads\9-24_최종본\thumb\P\036_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\036_L_01_side_nail.jpg
thumb,train,P/036_R_01,P,036,C:\Users\USER\Downloads\9-24_최종본\thumb\P\036_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\036_R_01_side_nail.jpg
thumb,train,P/037_L_01,P,037,C:\Users\USER\Downloads\9-24_최종본\thumb\P\037_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\037_L_01_side_nail.jpg
thumb,train,P/037_R_01,P,037,C:\Users\USER\Downloads\9-24_최종본\thumb\P\037_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\037_R_01_side_nail.jpg
thumb,train,P/038_L_01,P,038,C:\Users\USER\Downloads\9-24_최종본\thumb\P\038_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\038_L_01_side_nail.jpg
thumb,train,P/038_R_01,P,038,C:\Users\USER\Downloads\9-24_최종본\thumb\P\038_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\038_R_01_side_nail.jpg
thumb,train,P/041_L_01,P,041,C:\Users\USER\Downloads\9-24_최종본\thumb\P\041_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\041_L_01_side_nail.jpg
thumb,train,P/041_R_01,P,041,C:\Users\USER\Downloads\9-24_최종본\thumb\P\041_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\041_R_01_side_nail.jpg
thumb,train,S/001_R_01,S,001,C:\Users\USER\Downloads\9-24_최종본\thumb\S\001_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\001_R_01_side_nail.jpg
thumb,train,S/004_L_01,S,004,C:\Users\USER\Downloads\9-24_최종본\thumb\S\004_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\004_L_01_side_nail.jpg
thumb,train,S/004_R_01,S,004,C:\Users\USER\Downloads\9-24_최종본\thumb\S\004_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\004_R_01_side_nail.jpg
thumb,train,S/006_R_01,S,006,C:\Users\USER\Downloads\9-24_최종본\thumb\S\006_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\006_R_01_side_nail.jpg
thumb,train,S/010_L_01,S,010,C:\Users\USER\Downloads\9-24_최종본\thumb\S\010_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\010_L_01_side_nail.jpg
thumb,train,S/010_R_01,S,010,C:\Users\USER\Downloads\9-24_최종본\thumb\S\010_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\010_R_01_side_nail.jpg
thumb,train,S/012_L_01,S,012,C:\Users\USER\Downloads\9-24_최종본\thumb\S\012_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\012_L_01_side_nail.jpg
thumb,train,S/012_R_01,S,012,C:\Users\USER\Downloads\9-24_최종본\thumb\S\012_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\012_R_01_side_nail.jpg
thumb,train,S/013_L_01,S,013,C:\Users\USER\Downloads\9-24_최종본\thumb\S\013_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\013_L_01_side_nail.jpg
thumb,train,S/013_R_01,S,013,C:\Users\USER\Downloads\9-24_최종본\thumb\S\013_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\013_R_01_side_nail.jpg
thumb,train,S/014_L_01,S,014,C:\Users\USER\Downloads\9-24_최종본\thumb\S\014_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\014_L_01_side_nail.jpg
thumb,train,S/014_R_01,S,014,C:\Users\USER\Downloads\9-24_최종본\thumb\S\014_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\014_R_01_side_nail.jpg
thumb,train,S/019_L_01,S,019,C:\Users\USER\Downloads\9-24_최종본\thumb\S\019_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\019_L_01_side_nail.jpg
thumb,train,S/019_R_01,S,019,C:\Users\USER\Downloads\9-24_최종본\thumb\S\019_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\019_R_01_side_nail.jpg
thumb,train,S/020_L_01,S,020,C:\Users\USER\Downloads\9-24_최종본\thumb\S\020_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\020_L_01_side_nail.jpg
thumb,train,S/020_R_01,S,020,C:\Users\USER\Downloads\9-24_최종본\thumb\S\020_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\020_R_01_side_nail.jpg
thumb,train,S/026_L_01,S,026,C:\Users\USER\Downloads\9-24_최종본\thumb\S\026_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\026_L_01_side_nail.jpg
thumb,train,S/026_R_01,S,026,C:\Users\USER\Downloads\9-24_최종본\thumb\S\026_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\026_R_01_side_nail.jpg
thumb,train,S/035_L_01,S,035,C:\Users\USER\Downloads\9-24_최종본\thumb\S\035_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\035_L_01_side_nail.jpg
thumb,test,P/009_L_01,P,009,C:\Users\USER\Downloads\9-24_최종본\thumb\P\009_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\009_L_01_side_nail.jpg
thumb,test,P/015_L_01,P,015,C:\Users\USER\Downloads\9-24_최종본\thumb\P\015_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\015_L_01_side_nail.jpg
thumb,test,P/027_L_01,P,027,C:\Users\USER\Downloads\9-24_최종본\thumb\P\027_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\027_L_01_side_nail.jpg
thumb,test,P/034_L_01,P,034,C:\Users\USER\Downloads\9-24_최종본\thumb\P\034_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\034_L_01_side_nail.jpg
thumb,test,P/034_R_01,P,034,C:\Users\USER\Downloads\9-24_최종본\thumb\P\034_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\034_R_01_side_nail.jpg
thumb,test,P/035_R_01,P,035,C:\Users\USER\Downloads\9-24_최종본\thumb\P\035_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\P\035_R_01_side_nail.jpg
thumb,test,S/003_L_01,S,003,C:\Users\USER\Downloads\9-24_최종본\thumb\S\003_L_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\003_L_01_side_nail.jpg
thumb,test,S/011_R_01,S,011,C:\Users\USER\Downloads\9-24_최종본\thumb\S\011_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\011_R_01_side_nail.jpg
thumb,test,S/015_R_01,S,015,C:\Users\USER\Downloads\9-24_최종본\thumb\S\015_R_01_front_nail.jpg,C:\Users\USER\Downloads\9-24_최종본\thumb\S\015_R_01_side_nail.jpg
